Column,  (Number) from top,"Year, Vintage, or NV",Name,Type
7.0,3,2007,A. Rafanelli,C
7.0,4,2007,A. Rafanelli,C
7.0,5,2007,A. Rafanelli,C
7.0,6,2007,A. Rafanelli,C
7.0,7,2007,A. Rafanelli,C
7.0,8,2007,A. Rafanelli,C
7.0,9,2007,A. Rafanelli,C
7.0,10,2007,A. Rafanelli,C
7.0,11,2007,A. Rafanelli,C
7.0,12,2014,A. Rafanelli,C
7.0,13,2014,A. Rafanelli,C
7.0,14,2014,A. Rafanelli,C
,,,,C
7.0,15,2011,A. Rafanelli,C
7.0,16,2011,A. Rafanelli,C
7.0,17,2011,A. Rafanelli,C
7.0,18,2011,A. Rafanelli,C
7.0,19,2011,A. Rafanelli,C
7.0,20,2011,A. Rafanelli,C
7.0,21,2011,A. Rafanelli,C
7.0,22,2011,A. Rafanelli,C
7.0,23,2011,A. Rafanelli,C
7.0,24,2011,A. Rafanelli,C
7.0,25,,,
,,,,
,,,,
,,Column 8,,
,,,,
,No,,,
8.0,1,,,
8.0,2,,,
8.0,3,,,
8.0,4,,,
8.0,5,2004,A. Rafanelli,Z
8.0,6,2004,A. Rafanelli,Z
8.0,7,2004,A. Rafanelli,Z
8.0,8,2004,A. Rafanelli,Z
8.0,9,,,
8.0,10,2002,A. Rafanelli,Z
8.0,11,2002,A. Rafanelli,Z
8.0,12,2002,A. Rafanelli,Z
8.0,13,2002,Beaulieu - Georges de Latour,C
8.0,14,2002,Beaulieu - Georges de Latour,C
,,,,
8.0,15,1990,Silver Oak - Napa,C
8.0,16,1990,Silver Oak - Napa,C
8.0,17,1990,Silver Oak - Napa,C
8.0,18,,,
8.0,19,1990,Silver Oak - Napa,C
8.0,20,,,
8.0,21,1990,Silver Oak - Alexander,C
8.0,22,1990,Silver Oak - Alexander,C
8.0,23,1990,Silver Oak - Alexander,C
8.0,24,1990,Silver Oak - Alexander,C
8.0,25,1990,Silver Oak - Alexander,C
,,,,
,,,,
,,Column 9,,
,,,,
,No,,,
9.0,1,,,
9.0,2,,,
9.0,3,,,
9.0,4,,,
9.0,5,,,
9.0,6,2004,A. Rafanelli,Z
9.0,7,2004,A. Rafanelli,Z
9.0,8,2004,A. Rafanelli,Z
9.0,9,,,
9.0,10,2004,A. Rafanelli,Z
9.0,11,1997,A. Rafanelli,C
9.0,12,1997,A. Rafanelli,C
9.0,13,1997,A. Rafanelli,C
9.0,14,1997,A. Rafanelli,C
,,,,
9.0,15,1992,Silver Oak - Alexander,C
9.0,16,2011,Silver Oak - Alexander,C
9.0,17,2011,Silver Oak - Alexander,C
9.0,18,2011,Silver Oak - Alexander,C
9.0,19,1989,Silver Oak - Alexander,C
9.0,20,1988,Silver Oak - Alexander,C
9.0,21,1992,Silver Oak - Alexander,C
9.0,22,1988,Silver Oak - Alexander,C
9.0,23,1988,Silver Oak - Alexander,C
9.0,24,1990,Silver Oak - Napa,C
9.0,25,1990,Silver Oak - Napa,C
,,,,
,,,,
,,Column 10,,
,,,,
,No,,,
10.0,1,2003,A. Rafanelli,Z
10.0,2,2003,A. Rafanelli,Z
10.0,3,2003,A. Rafanelli,Z
10.0,4,2003,A. Rafanelli,Z
10.0,5,,,
10.0,6,,,
10.0,7,2008,A. Rafanelli,C
10.0,8,2008,A. Rafanelli,C
10.0,9,2008,A. Rafanelli,C
10.0,10,2011,A. Rafanelli,C
10.0,11,2010,Silver Oak - Napa,C
10.0,12,2010,Silver Oak - Napa,C
10.0,13,2010,Silver Oak - Napa,C
10.0,14,2010,Silver Oak - Napa,C
,,,,
10.0,15,1991,Silver Oak - Napa,C
10.0,16,,,
10.0,17,1991,Silver Oak - Napa,C
10.0,18,,,
10.0,19,1991,Silver Oak - Alexander,C
10.0,20,1991,Silver Oak - Alexander,C
10.0,21,1991,Silver Oak - Alexander,C
10.0,22,1991,Silver Oak - Alexander,C
10.0,23,1991,Silver Oak - Napa,C
10.0,24,1991,Silver Oak - Alexander,C
10.0,25,1991,Silver Oak - Napa,C
,,,,
,,,,
,,Column 11,,
,,,,
,No,,,
11.0,1,2003,A. Rafanelli,Z
11.0,2,2003,A. Rafanelli,Z
11.0,3,2003,A. Rafanelli,Z
11.0,4,2005,A. Rafanelli,Z
11.0,5,2005,A. Rafanelli,Z
11.0,6,2005,A. Rafanelli,Z
11.0,7,2005,A. Rafanelli,Z
11.0,8,2005,A. Rafanelli,Z
11.0,9,2005,A. Rafanelli,Z
11.0,10,2005,A. Rafanelli,Z
11.0,11,2005,A. Rafanelli,Z
11.0,12,2005,A. Rafanelli,Z
11.0,13,,,
11.0,14,,,
,,,,
11.0,15,1987,Silver Oak - Alexander,C
11.0,16,1989,Silver Oak - Napa,C
11.0,17,1989,Silver Oak - Napa,C
11.0,18,1987,Silver Oak - Napa,C
11.0,19,1987,Silver Oak - Alexander,C
11.0,20,1987,Silver Oak - Alexander,C
11.0,21,1987,Silver Oak - Alexander,C
11.0,22,1987,Silver Oak - Napa,C
11.0,23,1986,Silver Oak - Alexander,C
11.0,24,1986,Silver Oak - Alexander,C
11.0,25,1985,Silver Oak - Alexander,C
,,,,
,,,,
,,Column 12,,
,,,,
,No,,,
12.0,1,,,
12.0,2,,,
12.0,3,,,
12.0,4,,,
12.0,5,,,
12.0,6,2015,A. Rafanelli,C
12.0,7,2015,A. Rafanelli,C
12.0,8,2016,A. Rafanelli,Z
12.0,9,2015,A. Rafanelli,C
12.0,10,2015,A. Rafanelli,C
12.0,11,2015,A. Rafanelli,C
12.0,12,2016,A. Rafanelli,Z
12.0,13,2016,A. Rafanelli,Z
12.0,14,2015,A. Rafanelli,C
,,,,
12.0,15,2004,A. Rafanelli,C
12.0,16,2004,A. Rafanelli,C
12.0,17,2004,A. Rafanelli,C
12.0,18,2004,A. Rafanelli,C
12.0,19,2004,A. Rafanelli,C
12.0,20,2004,A. Rafanelli,C
12.0,21,2004,A. Rafanelli,C
12.0,22,2004,A. Rafanelli,C
12.0,23,2004,A. Rafanelli,C
12.0,24,,,
12.0,25,,,
,,,,
,,,,
,,Column 13,,
,,,,
,No,,,
13.0,1,2009,A. Rafanelli,C
13.0,2,2009,A. Rafanelli,C
13.0,3,2009,A. Rafanelli,C
13.0,4,2009,A. Rafanelli,C
13.0,5,,,
13.0,6,,,
13.0,7,,,
13.0,8,2009,A. Rafanelli,C
13.0,9,,,
13.0,10,2009,Caymus Napa,C
13.0,11,2009,Caymus Napa,C
13.0,12,1987,Caymus Napa,C
13.0,13,1990,Caymus Napa,C
13.0,14,1992,Caymus Napa,C
,,,,
13.0,15,2014,Caymus Napa Special Selection,C
13.0,16,2014,Caymus Napa Special Selection,C
13.0,17,2014,Caymus Napa Special Selection,C
13.0,18,2014,Caymus Napa Special Selection,C
13.0,19,2011,A. Rafanelli,Z
13.0,20,2011,A. Rafanelli,Z
13.0,21,2011,A. Rafanelli,Z
13.0,22,2011,A. Rafanelli,Z
13.0,23,2011,A. Rafanelli,Z
13.0,24,2011,A. Rafanelli,Z
13.0,25,2011,A. Rafanelli,Z
,,,,
,,,,
,,Column 14,,
,,,,
,No,,,
14.0,1,,,
14.0,2,,,
14.0,3,2016,Chatelet - Saint Emilion,B
14.0,4,2016,Chatelet - Saint Emilion,B
14.0,5,2016,Chatelet - Saint Emilion,B
14.0,6,2016,Chatelet - Saint Emilion,B
14.0,7,2016,Chatelet - Saint Emilion,B
14.0,8,2016,Chatelet - Saint Emilion,B
14.0,9,2016,Chatelet - Saint Emilion,B
14.0,10,2016,Chatelet - Saint Emilion,B
14.0,11,2015,Chatelet - Saint Emilion,B
14.0,12,2015,Chatelet - Saint Emilion,B
14.0,13,2015,Chatelet - Saint Emilion,B
14.0,14,2015,Chatelet - Saint Emilion,B
,,,,
14.0,15,2015,Chatelet - Saint Emilion,B
14.0,16,2015,Chatelet - Saint Emilion,B
14.0,17,2015,Chatelet - Saint Emilion,B
14.0,18,2015,Chatelet - Saint Emilion,B
14.0,19,2015,Caymus Napa,C
14.0,20,2012,Caymus Napa,C
14.0,21,2012,Caymus Napa,C
14.0,22,2012,Caymus Napa,C
14.0,23,2012,Caymus Napa,C
14.0,24,2012,Caymus Napa,C
14.0,25,2012,Caymus Napa,C
,,,,
,,,,
,,Column 15,,
,,,,
,No,,,
15.0,1,,,
15.0,2,,,
15.0,3,,,
15.0,4,,,
15.0,5,,,
15.0,6,2014,Chatelet - Saint Emilion,B
15.0,7,2014,Chatelet - Saint Emilion,B
15.0,8,2014,Chatelet - Saint Emilion,B
15.0,9,2014,Chatelet - Saint Emilion,B
15.0,10,2014,Chatelet - Saint Emilion,B
15.0,11,2014,Chatelet - Saint Emilion,B
15.0,12,2014,Chatelet - Saint Emilion,B
15.0,13,2014,Chatelet - Saint Emilion,B
15.0,14,2015,Chatelet - Saint Emilion,B
,,,,
15.0,15,2015,Chatelet - Saint Emilion,B
15.0,16,2015,Chatelet - Saint Emilion,B
15.0,17,2015,Chatelet - Saint Emilion,B
15.0,18,2015,Chatelet - Saint Emilion,B
15.0,19,2015,Chatelet - Saint Emilion,B
15.0,20,2015,Chatelet - Saint Emilion,B
15.0,21,2015,Chatelet - Saint Emilion,B
15.0,22,2015,Chatelet - Saint Emilion,B
15.0,23,2015,Chatelet - Saint Emilion,B
15.0,24,2015,Chatelet - Saint Emilion,B
15.0,25,2015,Chatelet - Saint Emilion,B
,,,,
,,,,
,,Column 16,,
,,,,
,No,,,
16.0,1,,,
16.0,2,,,
16.0,3,,,
16.0,4,1998,A. Rafanelli,C
16.0,5,1998,A. Rafanelli,Z
16.0,6,1998,A. Rafanelli,Z
16.0,7,1998,A. Rafanelli,Z
